species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,bill_ratio
Adelie,Torgersen,39.1,18.7,181,3750,2.0909090909090913
Adelie,Torgersen,39.5,17.4,186,3800,2.270114942528736
Adelie,Torgersen,40.3,18,195,3250,2.238888888888889
Adelie,Torgersen,NA,NA,NA,NA,NA
Adelie,Torgersen,36.7,19.3,193,3450,1.9015544041450778
Adelie,Torgersen,39.3,20.6,190,3650,1.907766990291262
Adelie,Torgersen,38.9,17.8,181,3625,2.185393258426966
Adelie,Torgersen,39.2,19.6,195,4675,2
Adelie,Torgersen,34.1,18.1,193,3475,1.8839779005524862
Adelie,Torgersen,42,20.2,190,4250,2.0792079207920793
Adelie,Torgersen,37.8,17.1,186,3300,2.2105263157894735
Adelie,Torgersen,37.8,17.3,180,3700,2.184971098265896
Adelie,Torgersen,41.1,17.6,182,3200,2.3352272727272725
Adelie,Torgersen,38.6,21.2,191,3800,1.8207547169811322
Adelie,Torgersen,34.6,21.1,198,4400,1.6398104265402844
Adelie,Torgersen,36.6,17.8,185,3700,2.056179775280899
Adelie,Torgersen,38.7,19,195,3450,2.0368421052631582
Adelie,Torgersen,42.5,20.7,197,4500,2.0531400966183577
Adelie,Torgersen,34.4,18.4,184,3325,1.8695652173913044
Adelie,Torgersen,46,21.5,194,4200,2.13953488372093
Adelie,Biscoe,37.8,18.3,174,3400,2.065573770491803
Adelie,Biscoe,37.7,18.7,180,3600,2.016042780748663
Adelie,Biscoe,35.9,19.2,189,3800,1.8697916666666667
Adelie,Biscoe,38.2,18.1,185,3950,2.110497237569061
Adelie,Biscoe,38.8,17.2,180,3800,2.255813953488372
Adelie,Biscoe,35.3,18.9,187,3800,1.8677248677248677
Adelie,Biscoe,40.6,18.6,183,3550,2.182795698924731
Adelie,Biscoe,40.5,17.9,187,3200,2.2625698324022347
Adelie,Biscoe,37.9,18.6,172,3150,2.0376344086021505
Adelie,Biscoe,40.5,18.9,180,3950,2.1428571428571432
Adelie,Dream,39.5,16.7,178,3250,2.3652694610778444
Adelie,Dream,37.2,18.1,178,3900,2.0552486187845305
Adelie,Dream,39.5,17.8,188,3300,2.2191011235955056
Adelie,Dream,40.9,18.9,184,3900,2.164021164021164
Adelie,Dream,36.4,17,195,3325,2.1411764705882352
Adelie,Dream,39.2,21.1,196,4150,1.8578199052132702
Adelie,Dream,38.8,20,190,3950,1.94
Adelie,Dream,42.2,18.5,180,3550,2.2810810810810813
Adelie,Dream,37.6,19.3,181,3300,1.9481865284974094
Adelie,Dream,39.8,19.1,184,4650,2.083769633507853
Adelie,Dream,36.5,18,182,3150,2.0277777777777777
Adelie,Dream,40.8,18.4,195,3900,2.217391304347826
Adelie,Dream,36,18.5,186,3100,1.945945945945946
Adelie,Dream,44.1,19.7,196,4400,2.238578680203046
Adelie,Dream,37,16.9,185,3000,2.1893491124260356
Adelie,Dream,39.6,18.8,190,4600,2.106382978723404
Adelie,Dream,41.1,19,182,3425,2.1631578947368424
Adelie,Dream,37.5,18.9,179,2975,1.9841269841269842
Adelie,Dream,36,17.9,190,3450,2.011173184357542
Adelie,Dream,42.3,21.2,191,4150,1.9952830188679245
Adelie,Biscoe,39.6,17.7,186,3500,2.2372881355932206
Adelie,Biscoe,40.1,18.9,188,4300,2.121693121693122
Adelie,Biscoe,35,17.9,190,3450,1.9553072625698324
Adelie,Biscoe,42,19.5,200,4050,2.1538461538461537
Adelie,Biscoe,34.5,18.1,187,2900,1.9060773480662982
Adelie,Biscoe,41.4,18.6,191,3700,2.225806451612903
Adelie,Biscoe,39,17.5,186,3550,2.2285714285714286
Adelie,Biscoe,40.6,18.8,193,3800,2.1595744680851063
Adelie,Biscoe,36.5,16.6,181,2850,2.1987951807228914
Adelie,Biscoe,37.6,19.1,194,3750,1.9685863874345548
Adelie,Biscoe,35.7,16.9,185,3150,2.112426035502959
Adelie,Biscoe,41.3,21.1,195,4400,1.9573459715639807
Adelie,Biscoe,37.6,17,185,3600,2.211764705882353
Adelie,Biscoe,41.1,18.2,192,4050,2.258241758241758
Adelie,Biscoe,36.4,17.1,184,2850,2.1286549707602336
Adelie,Biscoe,41.6,18,192,3950,2.3111111111111113
